,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
124,"Pot-Pourri: Melhor Eu Ir / Ligando Os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo","Grupo Menos É Mais",149777,https://open.spotify.com/track/5r9CZJMoMmxio2AnJdxuDS
125,"To Be Loved",Adele,149383,https://open.spotify.com/track/10ImcQk9tihY1EKMDIbvXJ
126,"Fragrância - Remix","MD Chefe",146807,https://open.spotify.com/track/76E9YSvgci2hPaNFy3XZu1
127,"Mete Um Block Nele","João Gomes",146603,https://open.spotify.com/track/1QiZYlh3oZg3zgn8eS99aB
128,"Poesia Acústica 11: Nada Mudou","Pineapple StormTv",146599,https://open.spotify.com/track/6giaOyDFbE4J8iclhCdW7E
129,"SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy)",Amaarae,146349,https://open.spotify.com/track/09gysnJpfQ3ublBmJDfcEC
130,"O Porte da 40","Mc Frog",145988,https://open.spotify.com/track/0wcAfve621R8p3sTQjjJXA
131,"De Garrafa A Pior - Ao Vivo","Henrique & Juliano",145440,https://open.spotify.com/track/6FaJ8kDyy4SDJpLPwAo9gE
132,"Need to Know","Doja Cat",143954,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
133,"Será que Dá Certo","Vitor Fernandes",143901,https://open.spotify.com/track/0lSY2zOUEeB5sfSnkw8M9l
134,"Se Tá Solteira",FBC,143577,https://open.spotify.com/track/6a5JCYemYOR4lta1mzaetS
135,"Coração Na Cama - Ao Vivo","Hugo & Guilherme",142245,https://open.spotify.com/track/7vCvUJyjMxRkPeo19nxmuk
136,"Hold On",Adele,141048,https://open.spotify.com/track/6bGMSP3H9YqkmaLnaJTIoF
137,Bipolar,"Mc Davi",140832,https://open.spotify.com/track/0qxLQ6opocOGyFnlXqJ53x
138,"Blinding Lights","The Weeknd",140831,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
139,"Não Parei De Sofrer","Gustavo Mioto",139283,https://open.spotify.com/track/7kwOvJqT8zHXQ4NYUZQ6W2
140,"Proteção de Tela","Tarcísio do Acordeon",138917,https://open.spotify.com/track/3v6gYFuAXQcm1EO5yW7yfX
141,"Pegada de Malvado","Mc Danone",138301,https://open.spotify.com/track/2Ho2vEEJAZOAnpxl9GsFYR
142,"Vou de Lala","MC Joãozinho VT",137961,https://open.spotify.com/track/6MQrN9fclpvR4nf0uJrG1x
143,"Watermelon Sugar","Harry Styles",136778,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
144,"A Lua - Spotify Singles",Teto,136251,https://open.spotify.com/track/2sSbQIX5cDgtzJAXnLqHpV
145,"Me Ame Mais","Jorge & Mateus",135569,https://open.spotify.com/track/4iavXH4dDUMA8yAabnUhSI
146,"Se Joga no Passinho","Brisa Star",135506,https://open.spotify.com/track/41pFFOnh1glVNIlrWOpBjb
147,"All Night Parking (with Erroll Garner) Interlude",Adele,135005,https://open.spotify.com/track/496vIKS2INz840xZaKncvR
148,"Bad Habits","Ed Sheeran",134511,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
149,"Até A Próxima Vida - Ao Vivo","Henrique & Juliano",134146,https://open.spotify.com/track/1gqZjpNPd6UrV8ZGyKPjDw
150,"Não Quer Chifre","Mc Frog",133382,https://open.spotify.com/track/7Ls0AYtBWAJtt7iORFc6zC
151,Unstoppable,Sia,132691,https://open.spotify.com/track/2J2Z1SkXYghSajLibnQHOa
152,Shivers,"Ed Sheeran",132069,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
153,"Todo Mundo Vai Sofrer - Ao Vivo","Marília Mendonça",131399,https://open.spotify.com/track/4E6RdcCWMiHTu7zy1VTNDo
154,"Woman Like Me",Adele,130424,https://open.spotify.com/track/2c6xRsQBv7pynuhYhWoHxo
155,"Modo Avião - Ao Vivo",DENNIS,130003,https://open.spotify.com/track/7m9Hr6qAquvk6nNFtBIlM0
156,"Gaiola - Ao Vivo","Henrique & Juliano",128525,https://open.spotify.com/track/70PwecMUvcdwyunypqGHfQ
157,"Quero Ver é Me Esquecer (feat. Jorge) - Ao Vivo","Os Barões Da Pisadinha",127967,https://open.spotify.com/track/5UmwpS5SHeaKNCA7bGpJRe
158,"Freio da Blazer",L7NNON,127625,https://open.spotify.com/track/6m187iACTSAZDYMaV0klqj
159,"Vou Encher de Leite e Vou Mandar Pros Alemão - Eletrofunk","Mc Th",126776,https://open.spotify.com/track/2EO2Ygkb3rjxExkpStXvyK
160,"Sua amiga deu","MC Levin",125853,https://open.spotify.com/track/142YjJNOuXjzeSDnB1ujw1
161,ATENÇÃO,"PEDRO SAMPAIO",125846,https://open.spotify.com/track/5AhnPqydkYbZAp4NkyJ7ED
162,"Faz Amor Comigo Só Hoje","Israel & Rodolffo",125003,https://open.spotify.com/track/5ItttPiqUksUE240dJ9DT6
163,"Te Esqueci Valendo - Ao Vivo","Zé Ottávio",124498,https://open.spotify.com/track/3BPXSPCKbMe79zjnc6pJyk
164,"O Ex da Sua Vida","Gusttavo Lima",124385,https://open.spotify.com/track/17Gh6E6eRfAAw7sCgmnkFc
165,"My Universe",Coldplay,124291,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
166,"Vê Se Pode","MC Levin",122919,https://open.spotify.com/track/4Y8rBzQ0mkx3ALVso3n2ip
167,"Foi Pá Pum","Simone & Simaria",122804,https://open.spotify.com/track/5uztIMqjl5FTZSYDlOBJjV
168,"Ciumeira - Ao Vivo","Marília Mendonça",122175,https://open.spotify.com/track/7D5F5BzIon5zhzQrOU2pdN
169,Passatempo,"Wesley Safadão",121936,https://open.spotify.com/track/3ibiPPqHxdmX4nNp4kNHE9
170,"Eu Tenho a Senha","João Gomes",121393,https://open.spotify.com/track/2YBKO08Wkc3eP5JdUSwng8
171,"good 4 u","Olivia Rodrigo",120774,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
172,"Google da Minha Vida","MC Ryan SP",120738,https://open.spotify.com/track/456hS1uLvaApIdoMyqg9e4
173,"Liberdade Provisória - Ao Vivo","Henrique & Juliano",120729,https://open.spotify.com/track/7Cf2Hsy3cPlA4e115tElXv
174,"nada contra (ciúme)",Clarissa,119897,https://open.spotify.com/track/1YGLrVineKYS0UzvBAA3gH
175,Paradigmas,"Jorge & Mateus",119581,https://open.spotify.com/track/17UfXrL7Run3GyZJW4uRjC
176,"Apê 1001",BIN,118359,https://open.spotify.com/track/6oVNrpMWlzS6UkQuuM8zHU
177,M4,Teto,118275,https://open.spotify.com/track/07AQkmp456NpEnT8HR7WLy
