,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
162,"El Fin del Mundo","La La Love You",49233,https://open.spotify.com/track/70JnnNNAxPjvZGPwjJfX47
163,Bandido,"Myke Towers",48848,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
164,KESI,Camilo,48765,https://open.spotify.com/track/42lpuSQmnLUM1ZXJVzIVOi
165,"Hecha Pa' Mi",Boza,48676,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
166,"SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy)",Amaarae,48640,https://open.spotify.com/track/09gysnJpfQ3ublBmJDfcEC
167,"Color Caramelo","Beny Jr",48479,https://open.spotify.com/track/0tqOrNifmUgu2xgbKesHk3
168,BEBÉ,Camilo,47769,https://open.spotify.com/track/3Zf4GutWZ7Hv3wsVQsSQPs
169,Ella,Boza,47709,https://open.spotify.com/track/66S2z95FN3nUAr9S1gUIsp
170,Princesas,Pereza,47238,https://open.spotify.com/track/3hlWUNjAlbZ6nOjAbrivBv
171,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,46985,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
172,"Como Estrellas","LA YOUNG",46572,https://open.spotify.com/track/7GcN9q4AAH4uzQKvyuvByT
173,"Me Rehúso","Danny Ocean",46440,https://open.spotify.com/track/6ifUES3keWjwXgae8pXI3o
174,"Mon amour",zzoilo,46399,https://open.spotify.com/track/064ikblBFGS6HL35D71LZy
175,"Antes de Morirme (feat. ROSALÍA)","C. Tangana",46334,https://open.spotify.com/track/4Dl8bEzhAEGbcwkQawS1XG
176,VACAXIONES,Feid,45952,https://open.spotify.com/track/6DdC4I8ENm7zHH9Jy9pFg4
177,Bésame,"Luis Fonsi",45692,https://open.spotify.com/track/1ESyXyXxZmII2sXhMVpk9D
178,abcdefu,GAYLE,45669,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
179,"Ella No Es Tuya - Remix","Rochy RD",45667,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
180,MONEY,LISA,45379,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
181,"No Me Conoce - Remix","Jhay Cortez",45187,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
182,"Una Vaina Loca",Fuego,45163,https://open.spotify.com/track/6YYmoV9YbBefsspGmqFHbs
183,"Cuando Ella Se Va",Cano,45028,https://open.spotify.com/track/5d2NpYRSedleVRVzQUxCNI
184,Tusa,"KAROL G",44905,https://open.spotify.com/track/0dKg2vGC1hFqcK5LGTaKzX
185,"Love Is A Game",Adele,44750,https://open.spotify.com/track/2j3GxEsbNYNeEzz86wDY4J
186,Flecha,Leiva,44617,https://open.spotify.com/track/6XtOM0xVBmhjX8mRkrWo9z
187,Aloha,Maluma,43872,https://open.spotify.com/track/5RAIMjdrCEjpjaR5tBATXU
188,"Nathy Peluso: Bzrp Music Sessions, Vol. 36",Bizarrap,43491,https://open.spotify.com/track/78SeXVRJ7KCqVmOwTiFjnI
189,Explícito,"Myke Towers",43433,https://open.spotify.com/track/6qraVL4IJaIj0IuEexYJNa
190,"Ella Remix (feat. alPeDue)","El Bobe",43419,https://open.spotify.com/track/3zrCNLBJD67qLw60XT5C5C
191,"Carita Morena","Omar Montes",43306,https://open.spotify.com/track/5zu9xieHTcl3pEISNJTKmZ
192,"Vamo’ A Beber","Juan Magán",43259,https://open.spotify.com/track/52Jv0Db51Aa3LztWh00xVU
193,Tokyo,"Jhay Cortez",43180,https://open.spotify.com/track/1gYipuSzUpI6BENbGrgeid
194,"THATS WHAT I WANT","Lil Nas X",43120,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
195,Tranquilísimo,"Israel B",42888,https://open.spotify.com/track/3znlxKwQTRVrrerCcZPus2
196,Solo,"Omar Montes",42878,https://open.spotify.com/track/1wPAOYQJcGSqvXkqcQHExr
197,"Moth To A Flame (with The Weeknd)","Swedish House Mafia",42871,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA
198,"LA CANCIÓN","J Balvin",42740,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
199,"Air Drop","Bryant Myers",42692,https://open.spotify.com/track/1WUUjDzH1ZMIPz3194CLid
200,METALLICA,"Yung Beef",42688,https://open.spotify.com/track/4XeqABCbUqyznqTgB8Ckzj
