,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
189,"The Way Life Goes (feat. Oh Wonder)","Lil Uzi Vert",243922,https://open.spotify.com/track/2eAZfqOm4EnOF9VvN50Tyc
190,MAFIA,"Travis Scott",243611,https://open.spotify.com/track/08F16baYbciTva9P4BvpiI
191,"She Knows (feat. Amber Coffman & Cults)","J. Cole",242339,https://open.spotify.com/track/0Fs9cdPDhptWEDJmiCbkEW
192,"Santa Tell Me","Ariana Grande",242241,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
193,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",241126,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
194,"Smells Like Teen Spirit - Remastered",Nirvana,240177,https://open.spotify.com/track/0gucTLf7trAf37Ua1uAyAu
195,"Shoota (feat. Lil Uzi Vert)","Playboi Carti",238884,https://open.spotify.com/track/2BJSMvOGABRxokHKB0OI8i
196,"Blank Space","Taylor Swift",237284,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g
197,Streets,"Doja Cat",236962,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
198,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",236845,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
199,"Money Trees","Kendrick Lamar",236637,https://open.spotify.com/track/2HbKqm4o0w5wEeEFXm2sD4
200,"State Of Grace (Acoustic Version) (Taylor's Version)","Taylor Swift",235353,https://open.spotify.com/track/5jAIouBES8LWMiriuNq170
